,state_name,state_initial,state_num,year,poverty_rate,unemploy_rate,justice_rate,violent_rate,property_rate,welfare_povcap,welfare_percap
0,Alabama,AL,1,2010,19.0,7.0,2.140814477340314,0.37731141377475036,3.5125736688206324,6.634749069773675,1.2606023232569983
1,Alaska,AK,2,2010,9.9,6.6,1.7897213934529563,0.6355142805115491,2.8377526578980543,25.466003198490487,2.521134316650558
2,Arizona,AZ,3,2010,17.4,7.2,2.2992760050768104,0.4071218940275055,3.5256272189977107,8.262792411988949,1.4377258796860768
3,Arkansas,AR,4,2010,18.8,5.8,2.0867913293935176,0.5042841048007436,3.55154957419051,7.810438167251949,1.4683623754433661
4,California,CA,5,2010,15.8,8.2,1.9136998843124968,0.4398049041490425,2.631168550962979,10.828263769232642,1.7108656755387572
5,Colorado,CO,6,2010,13.4,6.8,2.4370559337188693,0.3196331381087379,2.674512897760785,6.527443135414165,0.8746773801454981
6,Connecticut,CT,7,2010,10.1,7.1,2.1128133945998924,0.2809913291389992,2.1900950905726946,16.679688031869077,1.6846484912187765
7,Delaware,DE,8,2010,11.8,5.9,2.601509793873452,0.6197246977244154,3.441889832401986,15.605023039891844,1.8413927187072376
8,Florida,FL,10,2010,16.5,8.0,2.34654217229257,0.541077709804714,3.550097829528551,6.7149672432451055,1.1079695951354425
9,Georgia,GA,11,2010,17.9,8.0,5.918862036097848,0.40231135451515526,3.631418053825001,5.686787372563242,1.0179349396888204
10,Hawaii,HI,12,2010,10.7,5.1,2.0221223009715072,0.2620305682778785,3.3052949383524335,13.43351867309197,1.4373864980208408
11,Idaho,ID,13,2010,15.7,6.4,4.133438194335684,0.22059581880202145,1.9917924349321916,7.23737005454368,1.1362670985633578
12,Illinois,IL,14,2010,13.8,7.6,1.8379270866569635,0.4348349904984252,2.678937110173955,10.214209439966778,1.4095609027154155
13,Indiana,IN,15,2010,15.3,6.9,2.8496277150735114,0.31413933617977974,3.03924299646002,8.053040601658049,1.2321152120536816
14,Iowa,IA,16,2010,12.6,4.6,1.2553797023350033,0.27314639538866736,2.2392890916808845,12.128486856463137,1.5281893439143552
15,Kansas,KS,17,2010,13.6,5.3,1.3016838803578488,0.36844996308852807,3.1143835784185097,8.59751481964213,1.1692620154713298
16,Kentucky,KY,18,2010,19.0,6.6,2.3986844820857276,0.2421242353986644,2.546099161925412,8.704403301663747,1.6538366273161123
17,Louisiana,LA,19,2010,18.7,6.2,2.873394851219003,0.5476031415336057,3.638592488731513,7.573754816336347,1.4162921506548969
18,Maine,ME,20,2010,12.9,5.3,0.8707521604303612,0.1220973630434406,2.4806628960349615,16.980594904569077,2.190496742689411
19,Maryland,MD,21,2010,9.9,6.1,2.238906918631217,0.5462418234319085,2.98949063209093,15.30699805874739,1.5153928078159915
20,Massachusetts,MA,22,2010,11.4,6.9,1.540634525616911,0.4652995968662446,2.343859341331436,18.398473649768352,2.097425996073592
21,Michigan,MI,23,2010,16.8,9.4,2.590848958897536,0.49060947546497047,2.715269334073061,8.719807131843666,1.464927598149736
